WP_011270611.1,Q9K907.1,229.0,48.918
WP_011270614.1,Q92GV1.1,144.0,97.143
WP_011270619.1,Q9UMS0.2,197.0,49.735
WP_011270620.1,A5W3S6.1,146.0,53.731
WP_011270622.1,Q92GV7.1,945.0,97.788
WP_011270625.1,Q92GW0.1,973.0,97.826
WP_011270627.1,Q7MH13.1,147.0,35.0
WP_011270628.1,A8GT71.1,830.0,98.985
WP_011270629.1,P48850.1,216.0,99.048
WP_011270630.1,A8GT69.1,453.0,98.605
WP_011270631.1,C4K2H8.1,431.0,98.551
WP_011270632.1,C4K2H7.1,197.0,98.98
WP_011270633.1,Q92GW9.1,574.0,99.267
WP_011270634.1,A8F2E2.1,242.0,97.479
WP_011270635.1,Q92GX2.1,460.0,98.157
WP_011270636.1,A8F2E0.2,281.0,99.265
WP_011270638.1,A8GT58.1,213.0,99.083
WP_011270639.1,A8GPD8.1,370.0,98.324
WP_011270640.1,A8GPD7.1,206.0,99.01
WP_011270641.1,Q92GY0.1,279.0,99.242
WP_011270642.1,C3PP92.1,359.0,98.305
WP_011270643.1,Q92GY2.1,232.0,96.61
WP_011270644.1,A8GPD3.1,360.0,98.864
WP_011270646.1,A8F2C8.1,304.0,97.386
WP_011270647.1,Q92GY6.1,890.0,98.845
WP_011270648.1,Q92GY7.1,433.0,97.642
WP_011270649.1,Q92GY8.1,258.0,99.2
WP_011270650.1,Q92GZ0.1,718.0,98.235
WP_011270651.1,A8F2C2.1,263.0,99.206
WP_011270652.1,A8GPC4.1,172.0,97.778
WP_011270653.1,Q57E90.1,73.7,46.835
WP_011270654.1,P0C0L8.1,186.0,29.904
WP_011270655.1,Q57711.3,112.0,27.551
WP_011270664.1,Q4UNE0.1,260.0,42.434
WP_011270665.1,P80011.1,79.3,40.26
WP_011270668.1,A8GMJ8.1,355.0,94.286
WP_011270669.1,O33519.2,633.0,96.37
WP_011270672.1,Q3V384.1,189.0,31.738
WP_011270673.1,P43934.1,56.0,30.631
WP_011270674.1,Q92IY7.1,645.0,82.24
WP_011270675.1,Q57180.1,339.0,34.697
WP_011270676.1,P94364.1,286.0,35.022
WP_011270677.1,Q47149.1,99.6,52.381
WP_011270678.1,Q47150.1,63.8,33.721
WP_011270679.1,P0ABK4.1,139.0,27.419
WP_011270680.1,Q92IX8.1,548.0,94.717
WP_011270681.1,Q92IX7.1,747.0,83.01
WP_011270682.1,A8GML2.1,471.0,94.915
WP_011270686.1,P50938.2,608.0,63.261
WP_011270687.1,A8GP91.1,219.0,89.831
WP_011270688.1,A8GSZ9.1,87.1,97.727
WP_011270689.1,Q92H37.1,239.0,96.581
WP_011270690.1,Q9ZCV2.1,420.0,86.222
WP_011270691.1,C4K1L3.1,419.0,97.537
WP_011270692.1,A8GP84.1,340.0,93.514
WP_011270694.1,P37518.1,416.0,56.25
WP_011270697.1,Q68WD6.1,678.0,86.816
WP_011270699.1,O23179.2,104.0,28.571
WP_011270702.1,Q4UN61.1,69.0,38.636
WP_011270703.1,Q92H56.1,994.0,99.568
WP_011270704.1,Q9AKI4.1,249.0,92.683
WP_011270705.1,Q54B20.1,65.1,42.857
WP_011270706.1,Q92H58.1,2224.0,93.387
WP_011270707.1,Q92H59.1,819.0,76.527
WP_011270708.1,Q9AKP1.1,858.0,89.755
WP_011270709.1,A8F278.2,745.0,98.615
WP_011270712.1,B0RVK3.1,285.0,61.722
WP_011270713.1,B0RVK4.1,320.0,63.319
WP_011270720.1,Q8C8R3.2,315.0,33.874
WP_011270723.1,Q57E90.1,112.0,39.189
WP_011270735.1,O86235.1,61.2,29.101
WP_011270736.1,Q9ZCT3.1,642.0,92.0
WP_011270737.1,Q92GZ5.1,364.0,96.61
WP_011270738.1,A8GPB9.1,495.0,96.234
WP_011270742.1,P96587.1,106.0,29.07
WP_011270743.1,A8GPB7.1,191.0,96.842
WP_011270744.1,A8GPB6.1,1099.0,97.248
WP_011270745.1,P0AG22.1,126.0,44.275
WP_011270748.1,Q9ZCT8.1,916.0,89.633
WP_011270749.1,A8GPB1.1,466.0,91.176
WP_011270750.1,P39832.3,123.0,27.6
WP_011270752.1,A8AP56.1,602.0,41.061
WP_011270753.1,Q3J4E3.1,747.0,67.197
WP_011270754.1,P05165.4,620.0,45.889
WP_011270757.1,Q1RIY2.1,310.0,45.578
WP_011270758.1,Q92H19.2,2198.0,92.029
WP_011270761.1,A8EY51.1,138.0,98.485
WP_011270762.1,Q92H24.1,1209.0,96.477
WP_011270768.1,Q9CLC4.1,181.0,31.153
WP_011270771.1,Q57E90.1,118.0,37.037
WP_011270772.1,Q5HRH0.1,107.0,33.023
WP_011270773.1,A5VPI9.1,126.0,36.53
WP_011270774.1,P40862.2,125.0,26.542
WP_011270777.1,Q58741.1,55.1,28.195
WP_011270780.1,Q8CCN1.1,73.3,24.267
WP_011270788.1,B5YKJ2.1,69.8,24.706
WP_011270789.1,Q1RHR2.1,225.0,77.612
WP_011270791.1,Q4L443.1,143.0,28.062
WP_011270793.1,B1I6I5.1,163.0,29.65
WP_011270796.1,Q9ZDN9.1,109.0,87.931
WP_011270797.1,Q9ZDN8.1,450.0,92.593
WP_011270798.1,Q6FYW2.2,73.7,32.456
WP_011270799.1,Q7WDT6.1,95.3,36.478
WP_011270800.1,Q6FYW0.1,233.0,38.04
WP_011270801.1,P09817.1,250.0,35.307
WP_011270802.1,C6DHF6.1,70.2,32.353
WP_011270803.1,Q1RIH4.1,698.0,83.117
WP_011270806.1,P96989.1,64.6,26.936
WP_011270807.1,Q52657.2,56.9,31.25
WP_011270809.1,Q52657.2,138.0,26.998
