NP_417279.2,Q9RCG0.1,186.0
NP_417279.2,C5MRT8.1,173.0
NP_417279.2,Q53062.2,165.0
NP_417279.2,P33744.3,159.0
NP_417279.2,Q8IWW8.1,132.0
NP_417279.2,Q8R0N6.2,132.0
NP_417279.2,Q4QQW3.1,131.0
NP_417279.2,Q5RF11.1,131.0
NP_417279.2,Q9U2M4.1,130.0
NP_417279.2,A6QP15.1,130.0
NP_417279.2,A8WTJ7.1,126.0
NP_417279.2,P27137.1,120.0
NP_417279.2,Q04944.2,119.0
NP_417279.2,Q08B39.1,119.0
NP_417279.2,Q9F282.1,118.0
NP_417279.2,Q6P371.1,118.0
NP_417279.2,Q7Q547.3,118.0
NP_417279.2,Q9W265.1,112.0
NP_417279.2,Q04945.1,112.0
NP_417279.2,A4ISB9.1,109.0
NP_417279.2,O05240.1,108.0
NP_417194.2,P24242.4,727.0
NP_417194.2,P41030.2,204.0
NP_417194.2,P25748.2,196.0
NP_417194.2,P03024.1,195.0
NP_417194.2,P31766.2,189.0
NP_417194.2,E1WAQ4.1,188.0
NP_417194.2,P46828.1,175.0
NP_417194.2,B7VMG4.1,174.0
NP_417194.2,P25144.1,171.0
NP_417194.2,A7N1L2.1,168.0
NP_417194.2,P44329.2,165.0
NP_417194.2,Q87QW9.1,165.0
NP_417194.2,Q9KRC1.1,163.0
NP_417194.2,Q9JMQ1.1,163.0
NP_417194.2,A6VNL0.1,163.0
NP_417194.2,Q45831.1,161.0
NP_417194.2,Q9CN88.1,160.0
NP_417194.2,Q7MJ57.1,159.0
NP_417194.2,Q9CPA2.1,158.0
NP_417194.2,Q4QL70.1,158.0
NP_417194.2,B2VEM5.1,158.0
NP_417194.2,O87590.1,157.0
NP_417194.2,B6EH86.1,156.0
NP_417194.2,Q0I4B4.1,154.0
NP_417194.2,B5FF00.1,154.0
NP_417194.2,B5XWL8.1,153.0
NP_417194.2,A6TA06.1,152.0
NP_417194.2,A7ZMC4.1,151.0
NP_417194.2,A7MFD3.1,151.0
NP_417194.2,Q1RBD7.1,150.0
NP_417194.2,P0ACN9.1,150.0
NP_417194.2,P0ACP8.2,150.0
NP_417194.2,Q6LQB9.2,149.0
NP_417194.2,B7LQA9.1,149.0
NP_417194.2,Q8FH72.1,149.0
NP_416778.2,P76486.2,621.0
NP_416333.4,P69807.1,603.0
NP_416333.4,P69805.2,603.0
NP_416333.4,P26382.1,346.0
NP_416333.4,P37083.1,345.0
NP_416333.4,Q9RGG2.1,311.0
NP_416333.4,P42911.1,166.0
NP_416062.2,P76154.2,163.0
NP_416062.2,P76073.2,161.0
NP_415893.2,P76073.2,163.0
NP_415893.2,P76154.2,161.0
NP_415115.2,P19925.3,452.0
NP_415115.2,P0A3B9.2,444.0
NP_415115.2,Q8Z8L9.1,220.0
NP_415115.2,Q56064.2,217.0
NP_415115.2,Q53636.2,197.0
NP_415115.2,A1YCA5.1,51.9
