WP_011270417.1,Q6GBR4.1,225.0,33.661
WP_011270418.1,Q4UKZ9.1,66.3,42.424
WP_011270420.1,P80011.1,229.0,48.696
WP_011270421.1,P54163.1,64.0,27.545
WP_011270422.1,Q92JF7.1,835.0,77.799
WP_011270423.1,A8GM31.1,922.0,94.118
WP_011270424.1,A8F0I9.2,603.0,98.305
WP_011270425.1,A8F0J0.1,597.0,96.764
WP_011270426.1,Q92JF2.1,109.0,91.667
WP_011270427.1,Q92JE9.1,852.0,90.086
WP_011270428.1,Q9ZE57.1,401.0,89.45
WP_011270429.1,Q92JE7.1,790.0,96.447
WP_011270430.1,Q9ZE55.1,579.0,84.731
WP_011270431.1,Q68XW1.1,478.0,94.024
WP_011270432.1,P0ADV7.1,50.5,23.967
WP_011270433.1,Q87RN8.1,233.0,43.066
WP_011270434.1,Q68XW3.1,570.0,82.883
WP_011270435.1,Q92JD8.1,501.0,97.297
WP_011270436.1,P30769.2,188.0,37.959
WP_011270437.1,Q92JD6.1,127.0,96.341
WP_011270438.1,Q92JD1.1,198.0,98.969
WP_011270439.1,Q92JD0.1,155.0,96.154
WP_011270440.1,C3PMD9.1,416.0,95.283
WP_011270441.1,O28988.1,98.6,27.239
WP_011270442.1,Q9R2W4.1,529.0,37.769
WP_011270443.1,Q9ZE44.1,1950.0,84.109
WP_011270444.1,Q92JC4.1,1290.0,94.848
WP_011270445.1,Q92JC3.1,1633.0,84.114
WP_011270446.1,Q92JC2.1,1660.0,92.672
WP_011270447.1,Q92JC1.1,2230.0,93.68
WP_011270448.1,Q46558.1,54.5,42.373
WP_011270449.1,P71363.1,112.0,44.03
WP_011270450.1,Q9ZE39.1,662.0,93.605
WP_011270453.1,C3PME7.1,464.0,95.299
WP_011270454.1,A8GQT3.1,272.0,97.101
WP_011270458.1,Q92JF8.1,140.0,98.0
WP_011270461.1,Q92JH0.1,1477.0,96.201
WP_011270462.1,Q92JH1.1,437.0,95.536
WP_011270463.1,C4K184.1,1148.0,95.486
WP_011270464.1,A8GM08.1,767.0,95.561
WP_011270467.1,A8EXC8.1,537.0,92.336
WP_011270468.1,Q92JH8.1,171.0,93.333
WP_011270469.1,P45127.1,654.0,56.475
WP_011270470.1,Q92JI0.1,541.0,95.971
WP_011270471.1,B8GW31.1,296.0,50.988
WP_011270472.1,B0BW04.1,371.0,95.312
WP_011270473.1,A8F0G3.1,1225.0,96.463
WP_011270474.1,Q92JI4.1,287.0,97.857
WP_011270475.1,Q9Z7N9.1,299.0,37.793
WP_011270476.1,Q92JI6.1,972.0,97.59
WP_011270478.1,Q92JI7.2,394.0,91.584
WP_011270483.1,Q92JJ1.1,346.0,89.617
WP_011270484.1,Q92JJ2.1,354.0,98.343
WP_011270485.1,A8F0F4.1,1104.0,97.857
WP_011270486.1,P0AAT4.1,188.0,34.962
WP_011270487.1,A8GQK5.1,502.0,95.753
WP_011270488.1,Q54S83.1,184.0,33.718
WP_011270490.1,Q92JJ8.1,522.0,95.785
WP_011270493.1,Q92JJ9.1,1278.0,98.555
WP_011270494.1,A8GLX9.1,835.0,94.419
WP_011270495.1,A8F0E7.1,338.0,97.661
WP_011270496.1,Q92JK3.2,241.0,97.521
WP_011270498.1,Q12618.1,166.0,33.824
WP_011270499.1,Q9ZEA8.1,681.0,84.238
WP_011270500.1,Q92JK7.1,291.0,89.571
WP_011270506.1,P23238.1,271.0,55.372
WP_011270509.1,Q92JL9.1,880.0,93.864
WP_011270513.1,Q92GI5.1,989.0,96.994
WP_011270514.1,I3R9Z4.1,90.8,25.18
WP_011270515.1,P54810.1,458.0,55.897
WP_011270523.1,P71019.2,231.0,41.534
WP_011270526.1,Q03W49.1,100.0,24.33
WP_011270527.1,Q92GL0.1,426.0,91.593
WP_011270528.1,Q92GL1.1,453.0,94.76
WP_011270529.1,Q92GL2.1,354.0,94.565
WP_011270530.1,Q9A716.1,127.0,29.259
WP_011270532.1,Q92GL5.2,314.0,98.684
WP_011270533.1,Q9ZCK4.1,178.0,86.0
WP_011270534.1,P45029.1,78.1,37.179
WP_011270535.1,Q9ZCK6.1,178.0,91.489
WP_011270536.1,Q9ZCK7.1,231.0,81.379
WP_011270538.1,P0C0L8.1,112.0,29.565
WP_011270543.1,A8F2K6.1,735.0,95.291
WP_011270546.1,P37634.1,161.0,34.191
WP_011270547.1,P0AFT0.1,98.4,35.897
WP_011270548.1,A8F2K3.1,641.0,94.154
WP_011270550.1,Q796Y8.1,159.0,52.597
WP_011270553.1,Q9AKK7.1,171.0,92.308
WP_011270554.1,Q4UND5.1,70.2,50.617
WP_011270556.1,P44644.1,97.5,42.105
WP_011270557.1,Q9KKA3.2,2666.0,85.43
WP_011270559.1,P45037.1,292.0,31.672
WP_011270560.1,Q57017.2,231.0,32.692
WP_011270562.1,Q92GP5.1,440.0,97.285
WP_011270563.1,P57061.1,246.0,35.109
WP_011270564.1,B4TAV4.1,98.6,24.314
WP_011270565.1,Q9ZCM7.1,152.0,90.244
WP_011270569.1,A8GPK3.1,431.0,89.868
WP_011270570.1,O34569.2,105.0,34.395
WP_011270571.1,A8GPK1.1,852.0,97.647
WP_011270574.1,Q9ZCN2.1,1068.0,80.062
WP_011270577.1,Q92GR5.2,798.0,93.873
WP_011270578.1,Q58939.1,78.7,26.446
WP_011270581.1,C4K2L1.1,1160.0,86.73
WP_011270582.1,P37014.3,138.0,32.55
WP_011270583.1,Q83F93.1,173.0,35.926
WP_011270586.1,A8F2H5.1,413.0,96.059
WP_011270587.1,Q92GS6.1,996.0,93.11
WP_011270588.1,P0AFQ9.1,215.0,40.636
